task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border_01,True,True,1.0000,21.48,add_border|add_border,scale,8x8,2,1,add_border,1.0000,True,scale,direct_add_border,21.208,0.000,0.001,1,0,single,
task_add_border_02,True,True,1.0000,7.29,add_border|add_border,scale,9x9,2,1,add_border,1.0000,True,scale,direct_add_border,7.283,0.000,0.000,1,0,single,
task_add_border_03,True,True,1.0000,6.87,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,6.859,0.001,0.001,1,0,single,
task_add_border_04,True,True,1.0000,7.58,add_border|add_border|add_border,scale,7x8,3,1,add_border,1.0000,True,scale,direct_add_border,7.566,0.001,0.000,1,0,single,
task_add_border_05,True,False,0.8400,4.87,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,4.860,0.001,0.004,1,0,single,
task_add_border_06,True,False,0.8125,4.08,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,4.070,0.000,0.001,1,0,single,
task_add_border_07,True,False,0.7600,6.89,,composite,10x10,1,1,,0.0000,False,composite,,6.883,0.002,0.001,1,0,single,
task_add_border_08,True,False,0.8400,5.12,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,5.111,0.000,0.001,1,0,single,
task_add_border_09,True,False,0.8750,4.01,rotation,reflect,8x8,1,1,rotation,1.0000,True,reflect,direct_rotate,4.005,0.001,0.001,1,0,single,
task_add_border_10,True,False,0.8400,5.05,rotation,reflect,10x10,1,1,rotation,1.0000,True,reflect,direct_rotate,5.042,0.000,0.000,1,0,single,
task_blob_01,True,True,1.0000,6.52,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,6.512,0.000,0.000,1,0,single,
