task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,primary_transformation,transformation_confidence,was_fallback_used,llm_proposed_action,fallback_reason,llm_time,detection_time,action_time,num_colors,num_objects,mode,error
task_add_border,True,True,1.0000,12.40,add_border|add_border|add_border,color_change,7x8,3,1,add_border,1.0000,True,color_change,direct_add_border,12.188,0.000,0.001,1,0,single,
task_add_border_01,True,True,1.0000,5.16,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,5.145,0.001,0.000,1,0,single,
task_add_border_02,True,True,1.0000,5.65,add_border|add_border,color_change,9x9,2,1,add_border,1.0000,True,color_change,direct_add_border,5.638,0.001,0.000,1,0,single,
task_add_border_03,True,True,1.0000,5.12,add_border|add_border,color_change,8x8,2,1,add_border,1.0000,True,color_change,direct_add_border,5.111,0.000,0.000,1,0,single,
task_blob_color_change,True,True,1.0000,5.00,color_change|color_change,color_change,8x8,2,1,color_change,1.0000,False,color_change,,4.986,0.000,0.000,1,0,single,
task_blob_reflection,True,True,1.0000,4.94,reflection|rotation|reflection|rotation,reflect,8x8,2,1,reflection,1.0000,False,reflect,,4.931,0.001,0.002,1,0,single,
task_blob_rotation,True,True,1.0000,4.94,rotation|rotation,rotate,8x8,2,1,rotation,1.0000,False,rotate,,4.931,0.001,0.001,1,0,single,
task_blob_translation,True,True,1.0000,6.45,translation|translation,translate,10x10,2,1,translation,1.0000,False,translate,,6.445,0.001,0.000,1,0,single,
task_challenge_multi_transform,True,True,1.0000,14.37,,,10x12,2,1,,0.0000,False,,,0.000,0.000,0.000,3,0,single,
task_color_change,True,False,0.9375,7.86,composite|color_change|rotation|composite|color_change|rotation,color_change,8x8,2,1,composite,1.0000,True,color_change,direct_composite,7.857,0.001,0.001,1,0,single,
